categoria,puntaje,fuente,codigo,nombre,organismo,region,fecha_cierre,monto,moneda,url,razones
excelente,100,compra_agil,635-450-COT26,"COTIZACION DE MOLEDOR ELECTRICO, CAFÉ Y CAFETERA OT N°5703 Y N°5695 CC:MEL",SERVICIO DE SALUD DE ARICA Y PARINACOTA,Región de Arica y Parinacota,2026-08-21 01:13,212940.0,CLP,https://www.mercadopublico.cl/Home/Search?k=635-450-COT26,"Ítem UNSPSC 50201706 (Café) | Pide café en grano o de especialidad | Menciona café tostado | Habla de origen, arábica o especialidad | Incluye cafetera, molino o máquina en comodato | Encaja con suministro de café (tu rubro)"
excelente,100,compra_agil,530885-30-COT26,WD 4497 Café con Maquina Dispensadora de Café en comodato,UNIVERSIDAD DE CHILE,Región Metropolitana de Santiago,2026-08-21 10:00,1148000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=530885-30-COT26,"Ítem UNSPSC 50201706 (Café) | Pide café en grano o de especialidad | Habla de origen, arábica o especialidad | Incluye cafetera, molino o máquina en comodato | Encaja con suministro de café (tu rubro)"
excelente,90,compra_agil,546437-198-COT26,INSUMOS DE CAFETERIA Y BODEGA - FOJI (CARLOS SEGUEL),FUND NACIONAL DE ORQUESTAS JUVENILES E INFANTILES DE CHILE,Región Metropolitana de Santiago,2026-08-24 12:00,350000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=546437-198-COT26,"Ítem UNSPSC 50201706 (Café) | Compra de café o insumos de cafetería | Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte) | Encaja con suministro de café (tu rubro)"
buena,68,compra_agil,2358-412-COT26,"COMPRA DE CAFE Y ACCESORIOS DE MESA, S/C N° 255 DEL 13-08-2026, DEPTO. DE LA FAMILIA.",I MUNICIPALIDAD DE TALCAHUANO,Región del Biobío ,2026-08-21 10:00,250000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=2358-412-COT26,Ítem UNSPSC 50201706 (Café) | Compra de café o insumos de cafetería | Encaja con suministro de café (tu rubro)
regular,22,compra_agil,1976-93-COT26,TARROS DE CAFE Y VASOS DESECHABLES ,DELEGACIÓN PRESIDENCIAL PROVINCIAL DEL BIOBÍO,Región del Biobío ,2026-08-21 13:00,256787.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1976-93-COT26,"Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte)"
regular,18,compra_agil,1286987-37-COT26,INSUMOS DE CAFETERIA,Corporación Municipal de Deportes y Recreación Coy,Región Aysén del General Carlos Ibáñez del Campo,2026-08-21 12:00,700000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1286987-37-COT26,Compra de café o insumos de cafetería
regular,18,compra_agil,1057532-361-COT26,F1-316-2026-AVP//Adquisición de Insumos de Cafeteria //Cosam Oriente,SERVICIO DE SALUD OSORNO,Región de los Lagos ,2026-08-22 16:03,140000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1057532-361-COT26,Compra de café o insumos de cafetería
regular,18,compra_agil,889473-1583-COT26,SC 8582 - Insumos de Cafetería,UNIVERSIDAD DE O'HIGGINS,Región del Libertador General Bernardo O´Higgins,2026-08-22 18:00,527999.0,CLP,https://www.mercadopublico.cl/Home/Search?k=889473-1583-COT26,Compra de café o insumos de cafetería
servicio,26,licitacion,1051173-9-LE26,SERVICIO DE CATERING O COFFEE BREAK,MINISTERIO SECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,Región Metropolitana de Santiago,2026-08-24T17:30:00,,CLP,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1051173-9-LE26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,26,licitacion,1390-6-CO26,SERVICIO CAFETERIA Y ALIMENTACIÓN DEPROV TALAGANTE,SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA,Región Metropolitana de Santiago,2026-08-24T18:46:00,,CLP,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1390-6-CO26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
